key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g183||CSDA	CSDA	g183	-0.0558213652716526	0.712524900893503	-0.0450386825718323	0.863720066451947	-0.0860184426496899	0.657280122385046	-0.0428628696740841	0.77729979326785	-0.0269773196015809	0.918140884728956	-0.114778325123153	0.551773627205334	0	0	0	0	0	0
g189||CSDA	CSDA	g189	-0.0323197942707788	0.831150277678823	-0.421249743292205	0.0921845698122371	-0.043249760164676	0.823717535256809	-0.101884116117391	0.500469496668551	-0.629062043436864	0.00682399651405719	-0.0763546798029557	0.692901171349057	0	0	0	0	0	0
g195||CSDA	CSDA	g195	-0.122456477059755	0.417514288472191	-0.0584134688668265	0.823777532587925	-0.164891746024941	0.392671250486269	-0.187239816302905	0.212754061613076	0.0748007498043834	0.775399567277724	-0.230541871921182	0.227935789044621	0	0	0	0	0	0
g202||CSDA	CSDA	g202	-0.0547931249193522	0.717598925376402	-0.0858820070750188	0.743112054147705	-0.0814352881905101	0.674521342759144	-0.0168367819007553	0.911570547036807	-0.21091358961236	0.416457503323991	-0.0945812807881773	0.624290734016782	0	0	0	0	0	0
g23||CSDA	CSDA	g23	-0.0112519004532708	0.94083836808879	0.0322571169469628	0.902186272732689	-0.0223708571876615	0.908297905124773	0.0350920472583508	0.816905388449478	0.181483786410635	0.485737805935394	-0.0364532019704433	0.85109593142079	0	0	0	0	0	0
g27||CSDA	CSDA	g27	-0.152441771669862	0.311833088603611	0.494072073269424	0.0438178976556987	-0.214192920330177	0.26453474247022	-0.0888093990369512	0.557257621412546	0.337216495019761	0.185621085190283	-0.279802955665025	0.141341189363994	0	0	0	0	0	0
g46||CSDA	CSDA	g46	-0.239677564238222	0.10864406442031	-0.297861799619125	0.245574234854721	-0.327136764519527	0.0832344479969871	-0.253353480030414	0.089341826920526	-0.2440221182143	0.345236610996051	-0.351231527093596	0.0623769848606391	0	0	0	0	0	0
g47||CSDA	CSDA	g47	-0.308050152460402	0.0372743277978335	0.0040523755729717	0.987684642605716	-0.416541846813747	0.0245925012626635	-0.309229393591162	0.0365160644774775	-0.0478234302028025	0.855374717279973	-0.400492610837438	0.0321961913249088	0	0	0	0	0	0
g52||CSDA	CSDA	g52	-0.116112918925526	0.442221123800872	0.0691309027720985	0.792058948626854	-0.164634759414197	0.39341959706345	-0.0349687008707995	0.817537985198935	0.00980993440057488	0.970192308891195	-0.0596059113300492	0.758170443214006	0	0	0	0	0	0
g63||CSDA	CSDA	g63	-0.202177377842407	0.177832287718485	0.0505038511341201	0.84735567113742	-0.281013105672872	0.139761496682707	-0.289062259226521	0.0513697308130195	0.0809319588047427	0.757488449112755	-0.361576354679803	0.0546694842996584	0	0	0	0	0	0
g73||CSDA	CSDA	g73	-0.0964391572998747	0.523753467482922	-0.285913429742737	0.265929996278748	-0.139149589839932	0.471589211060287	-0.188719972953521	0.209094737745229	-0.450030740626372	0.0698926109472284	-0.120689655172414	0.531327342021308	0	0	0	0	0	0
g79||CSDA	CSDA	g79	-0.043392214515104	0.774620882073388	-0.150819352872869	0.563399179189687	-0.0608581225404317	0.753820436298567	-0.0603780567063717	0.690189332651726	-0.10545679480618	0.687083159427439	-0.14384236453202	0.454964429455096	0	0	0	0	0	0
g80||CSDA	CSDA	g80	-0.207082416063188	0.167319047238095	0.0417348724455303	0.873638576722805	-0.280245192934165	0.140892897541127	-0.215732831827261	0.149889412697228	-0.0723482662042397	0.782594637319485	-0.240886699507389	0.207293302048511	0	0	0	0	0	0
g82||CSDA	CSDA	g82	-0.0691785154158433	0.64779534029812	0.264439126658285	0.305048056156305	-0.0997630469339874	0.606625481739548	0.0420624151967436	0.781355588189839	0.355828220858896	0.160990553799705	-0.0157635467980296	0.935890685406112	0	0	0	0	0	0
g87||CSDA	CSDA	g87	-0.0340801603180362	0.82209833912239	0.289902713725517	0.259021496548707	-0.0505969246113542	0.794359154646472	-0.0105464413469841	0.944541652171564	0.0834355828220859	0.750207476623102	0.0285714285714286	0.883256495595661	0	0	0	0	0	0
g98||CSDA	CSDA	g98	-0.27857998826843	0.0608305404028658	-0.0920730309491144	0.725244338808326	-0.380877975929873	0.0415069761981435	-0.368559006003347	0.0117250566630129	-0.0772532334045272	0.768221731986015	-0.556650246305419	0.00202270081503292	0	0	0	0	0	0
g43||CSDA	CSDA	g43	-0.206568111138524	0.168399730598437	0.28653812803204	0.264840738820348	-0.291342415097433	0.12517783566905	-0.131302229548381	0.384408936813471	0.132434114407761	0.612372687512606	-0.293103448275862	0.122798882453126	0	0	0	0	0	0
g1173||CSDA	CSDA	g1173	-0.392667878271173	0.00694908586729136	0.0645705729476057	0.805520664764285	-0.532588375530511	0.00293691348615003	-0.232877979696894	0.119354657737082	0.190067479011138	0.464975812193537	-0.441379310344828	0.0173654118724001	0	0	0	0	0	0
g726||CSDA	CSDA	g726	-0.295009149953882	0.0465549949281151	-0.186840895453981	0.472727831585791	-0.40690979999132	0.028475199806066	-0.394585093776676	0.00665497585218736	-0.251379569014731	0.330420537596584	-0.591133004926108	0.000917049388055145	0	0	0	0	0	0
g672||CSDA	CSDA	g672	-0.354400197944854	0.0156696979022099	-0.0573942845433207	0.826808104169344	-0.477238059091385	0.00884899697413381	-0.366215424639872	0.0123121720027931	-0.0257510778015091	0.921850814941467	-0.539408866995074	0.00291815302838386	0	0	0	0	0	0
g1307||CSDA	CSDA	g1307	-0.244007023086237	0.102217170692972	0.463506350317961	0.0609421733540404	-0.32770097384779	0.0826728177535614	-0.153139262365857	0.309597959023044	0.476073619631902	0.0533883747879813	-0.361576354679803	0.0546694842996584	0	0	0	0	0	0
g1||E2F6	E2F6	g1	0.351176221729627	0.0167106577078372	0.119294487695659	0.648366159057014	0.563447804069293	0.00145903985240813	0.338513721862473	0.0218590517127479	0.0318627450980392	0.905925223934364	0.52807881773399	0.00367749444588042	0	0	0	0	0	0
g108||E2F6	E2F6	g108	0.28419845145589	0.0555999490011115	0.42851257175751	0.0861330330037698	0.444382484186379	0.0157294261358052	0.314215232809127	0.0339049810876543	0.144607843137255	0.578870511436224	0.408866995073892	0.0285228841101207	0	0	0	0	0	0
g113||E2F6	E2F6	g113	0.150362625219979	0.318556535724361	0.271251977189608	0.292285762052567	0.233014554829028	0.223811035851083	0.253160653715695	0.0896907501728595	0.0784313725490196	0.765642130601015	0.244334975369458	0.200710724603969	0	0	0	0	0	0
g115||E2F6	E2F6	g115	0.21037680909426	0.160515786688005	-0.140411157678417	0.590916627382765	0.333714374151666	0.0768653531189393	0.246253469010176	0.0990265341718805	0.0955882352941177	0.715475623387515	0.319704433497537	0.0912499139171394	0	0	0	0	0	0
g117||E2F6	E2F6	g117	0.291086145416405	0.049687928931628	-0.216860916566161	0.403125936081735	0.455506454024236	0.0130243798720993	0.231329016342892	0.121762549566145	-0.240196078431373	0.351680020193382	0.355172413793103	0.0593454360638323	0	0	0	0	0	0
g124||E2F6	E2F6	g124	0.295504154145301	0.046171348083261	-0.551880972396135	0.0216286836301161	0.460907830684551	0.0118579794110058	0.332439018291351	0.0239901894109573	-0.216083853233412	0.404854664552543	0.49064039408867	0.00751580753562206	0	0	0	0	0	0
g138||E2F6	E2F6	g138	0.206057554538585	0.169477531439257	-0.0941588867001734	0.719253976584837	0.329607276212672	0.0807966355801974	0.291520197348134	0.0497113353657864	-0.208333333333333	0.420812043757347	0.417733990147783	0.0250161683160041	0	0	0	0	0	0
g141||E2F6	E2F6	g141	0.1199211620319	0.427293186712001	-0.377171190201355	0.135586007966507	0.184848941091442	0.337074192552425	0.0444650015417823	0.768610542951081	-0.132352941176471	0.611953473917796	0.13743842364532	0.475472617137305	0	0	0	0	0	0
g152||E2F6	E2F6	g152	0.230622147475029	0.123078906398427	-0.280398434472819	0.275665859487423	0.352121649977266	0.0610232496153525	0.256367560900401	0.0855977651516256	-0.237745098039216	0.356747172699823	0.385714285714286	0.0396176969608204	0	0	0	0	0	0
g155||E2F6	E2F6	g155	0.31583411292186	0.0325001224558129	-0.0406425419993511	0.876921897977033	0.495076037351855	0.00632384245848841	0.417329633055812	0.00418913968677829	0.0980392156862745	0.708395821769232	0.57192118226601	0.00143929018037328	0	0	0	0	0	0
g156||E2F6	E2F6	g156	0.122164401404762	0.418634311643375	0.175597597982279	0.500229885695331	0.19302326851435	0.315757550351434	0.20518038852914	0.17087285759093	0.137254901960784	0.598627143554959	0.16551724137931	0.389224206443145	0	0	0	0	0	0
g167||E2F6	E2F6	g167	0.174868806892355	0.245088943558222	-0.23398380863251	0.366051039974696	0.27403168838377	0.15029271365718	0.207770582793709	0.165446385532416	-0.384803921568628	0.128071320927538	0.304926108374384	0.107899328954886	0	0	0	0	0	0
g170||E2F6	E2F6	g170	0.391877515324433	0.00707357265795616	0.0333712812408545	0.898823786932945	0.603019346900985	0.000535427303074511	0.39463459759482	0.00700267020155564	-0.181372549019608	0.484633929493739	0.579802955665024	0.00120009168288584	0	0	0	0	0	0
g171||E2F6	E2F6	g171	0.212266213902587	0.156706229950217	-0.206132801891318	0.427340665880819	0.327335538280627	0.0830362513434014	0.296330558125193	0.0459366719751894	-0.178921568627451	0.490666292162011	0.368472906403941	0.0499671324134355	0	0	0	0	0	0
g173||E2F6	E2F6	g173	0.27426020809852	0.065113843886212	-0.077042537659331	0.768837698255224	0.429860833869727	0.0199463029959926	0.267908353761469	0.0718444843907316	-0.155732708609126	0.550604924395751	0.420689655172414	0.0239295843101703	0	0	0	0	0	0
g177||E2F6	E2F6	g177	0.366209520403669	0.0123136823033056	0.256214071066856	0.320889267154496	0.561220099866317	0.00153809859131985	0.449028677150786	0.00193142471437992	0.159313725490196	0.540236149748719	0.611822660098522	0.000547176397491073	0	0	0	0	0	0
g182||E2F6	E2F6	g182	0.218172392742889	0.145224846213835	-0.479316220345944	0.0515583280937082	0.345704315555572	0.066226680945783	0.235152636447734	0.11559088638206	-0.362745098039216	0.152887807312487	0.34384236453202	0.0683900134059399	0	0	0	0	0	0
g183||E2F6	E2F6	g183	0.129777236505469	0.390002819076619	-0.0171306770947646	0.947970312149374	0.212286576241729	0.268911637024369	0.168670983657108	0.261561607668284	0.102941176470588	0.694306640386447	0.201477832512315	0.293260781978953	0	0	0	0	0	0
g189||E2F6	E2F6	g189	0.150052552994772	0.319567026859596	0.219871179597903	0.396466552255785	0.228089049994271	0.234033293782246	0.1263644773358	0.401462399466369	0.0857843137254902	0.744017310206342	0.222660098522167	0.24457512809996	0	0	0	0	0	0
g195||E2F6	E2F6	g195	0.274570099131121	0.0647987862820924	-0.306600838766115	0.231324197135508	0.417429867567741	0.0242574710589986	0.32099907493062	0.0300877384217867	-0.269607843137255	0.294209853807425	0.394581280788177	0.0350151381808042	0	0	0	0	0	0
g202||E2F6	E2F6	g202	0.161994857398459	0.282110829309063	0.263558480838355	0.306721525330908	0.257034941872289	0.178291751012634	0.248967005858773	0.0952727353013438	0.384803921568628	0.128071320927538	0.251231527093596	0.187986862993976	0	0	0	0	0	0
g23||E2F6	E2F6	g23	0.161874831661301	0.282472342518271	-0.166405291781622	0.52326478953729	0.256996839715165	0.178358363376416	0.258341042244835	0.0831529894052597	0.0269607843137255	0.920926977488124	0.237931034482759	0.213053666370455	0	0	0	0	0	0
g27||E2F6	E2F6	g27	0.201871845031268	0.178502507020142	0.383931717637885	0.128153760853952	0.318165321643885	0.0925616996330952	0.303607770582794	0.04067544289281	0.357843137254902	0.158830702106608	0.312315270935961	0.0993085927719989	0	0	0	0	0	0
g46||E2F6	E2F6	g46	0.143459422475391	0.341531270144903	-0.615867629079181	0.00848321515010086	0.222137858192788	0.246794442761519	-0.00437866173296331	0.97719023899957	-0.740196078431373	0.00100617113271276	0.180295566502463	0.347771119019241	0	0	0	0	0	0
g47||E2F6	E2F6	g47	0.0934269356020033	0.53686082770396	-0.143572284627475	0.582500802612626	0.141841958455857	0.462969245141466	0.0316373728029602	0.834318768630874	0.00735294117647059	0.981146015681787	0.112807881773399	0.558670399746255	0	0	0	0	0	0
g52||E2F6	E2F6	g52	0.254928647453479	0.0873019963469854	0.0139808758104975	0.95752794697165	0.399064804425982	0.0319930362696634	0.262041319765649	0.0787177294364194	0.110294117647059	0.673356612256124	0.32512315270936	0.0856670020238962	0	0	0	0	0	0
g63||E2F6	E2F6	g63	0.35242508538924	0.0163006741811846	-0.117021018598133	0.654672125715718	0.547439672351307	0.0021148161815149	0.312735121800802	0.0347892561802131	-0.0269607843137255	0.920926977488124	0.537931034482758	0.00300878773803855	0	0	0	0	0	0
g73||E2F6	E2F6	g73	0.185886826241863	0.216137843482032	0.0025396681976758	0.992281663752419	0.295201674872254	0.1200268396004	0.209744064138144	0.161397496251067	-0.0906862745098039	0.72970303386179	0.306896551724138	0.105555349001343	0	0	0	0	0	0
g79||E2F6	E2F6	g79	0.289059743623824	0.0513718494816931	-0.226703287789646	0.381575328252102	0.443547924887921	0.0159498681455029	0.236016034535924	0.114231019549404	-0.154411764705882	0.552980377797567	0.348768472906404	0.0643330074415723	0	0	0	0	0	0
g80||E2F6	E2F6	g80	0.164862141042267	0.273564721866742	-0.0902492418828953	0.730494458938167	0.25123342338287	0.188636304104864	0.126857847671909	0.399614694478316	-0.115196078431373	0.659518278389528	0.26551724137931	0.163466046012165	0	0	0	0	0	0
g82||E2F6	E2F6	g82	0.11685346827913	0.43929589422687	-0.0701352725952821	0.789101445117328	0.186306866581351	0.333209790323714	0.11341700335344	0.452960590569691	-0.17167385201006	0.510002995151417	0.191133004926108	0.319154938763232	0	0	0	0	0	0
g87||E2F6	E2F6	g87	0.176180195874733	0.241511859409259	0.257547696632416	0.318288639365998	0.274733675543362	0.14920872497075	0.150174226843733	0.319170264143067	0.0318822868018684	0.903317845525462	0.224137931034483	0.241394707683434	0	0	0	0	0	0
g98||E2F6	E2F6	g98	0.235172574782075	0.115654510238619	-0.551507404582805	0.0217359826311588	0.363343833963053	0.0526967959758992	0.217761332099907	0.145696621843652	-0.497549019607843	0.0441843668693338	0.40935960591133	0.0283180105577457	0	0	0	0	0	0
g43||E2F6	E2F6	g43	0.00403946799654219	0.978744388782822	0.102701510274207	0.694884543996748	0.0189397336897219	0.922316874827981	-0.00918902251002158	0.951795858923407	0.20343137254902	0.432062576349258	0.0187192118226601	0.92371228084435	0	0	0	0	0	0
g1173||E2F6	E2F6	g1173	0.102604993884415	0.497427094371583	0.161821080014418	0.534931310346154	0.157772314594454	0.413702671608546	0.215171137835338	0.150639392872453	0.377450980392157	0.135998518849547	0.24679802955665	0.19609923147991	0	0	0	0	0	0
g726||E2F6	E2F6	g726	0.141000702742254	0.349955298083629	-0.018289682134399	0.944455094296416	0.223932732556849	0.242898258435336	0.211964230650632	0.156930136286856	-0.174019607843137	0.502842203479041	0.250246305418719	0.189768780609041	0	0	0	0	0	0
g672||E2F6	E2F6	g672	0.0622975380384323	0.680856731082351	-0.162166396651568	0.53404842948892	0.0914025379463441	0.637244018291641	0.276595744680851	0.0630603407673021	-0.0906862745098039	0.72970303386179	0.226108374384236	0.237197695808575	0	0	0	0	0	0
g1307||E2F6	E2F6	g1307	0.117526680234087	0.436645988095222	0.21299631399125	0.411762585875816	0.175612313885244	0.362183692142738	0.208763760930611	0.163821230798506	0.268546954215737	0.297313950348161	0.22512315270936	0.239289986618256	0	0	0	0	0	0
g1||GTF3A	GTF3A	g1	0.148894558512158	0.323358677792588	0.527759947045552	0.0294523712773002	0.00224526042387902	0.990777275933064	0.100462534690102	0.505275507243468	0.620098039215686	0.00935155209869763	-0.120197044334975	0.533017021231153	0	0	0	0	0	0
g108||GTF3A	GTF3A	g108	0.188446871775411	0.209766579630854	0.0936566789698299	0.720694868326965	0.238220603067933	0.213338569204115	0.0928152944804193	0.538357821426768	0.110294117647059	0.673356612256124	0.128571428571429	0.504651722924303	0	0	0	0	0	0
g113||GTF3A	GTF3A	g113	0.0747884403626673	0.621325163054896	0.308245108052237	0.228703160514806	0.0941203198694333	0.62722328934588	0.10354609929078	0.492237573268076	0.428921568627451	0.0873288343036546	0.0699507389162561	0.717629131921412	0	0	0	0	0	0
g115||GTF3A	GTF3A	g115	0.23220505414596	0.120456582447586	-0.164115570423953	0.529077324015382	0.293346565584562	0.122482973372565	0.143509096515572	0.340217133582165	-0.242647058823529	0.346655298935632	0.20295566502463	0.289675218141292	0	0	0	0	0	0
g117||GTF3A	GTF3A	g117	0.220962267220782	0.14002302097934	0.132170070942286	0.613088136681896	0.277514392783635	0.144970100738611	0.188775824853531	0.208278699042431	0.0588235294117647	0.824102033724561	0.208866995073892	0.275616881108283	0	0	0	0	0	0
g124||GTF3A	GTF3A	g124	0.0777969454027959	0.607319468045565	-0.484912246416045	0.0485110883144484	0.106152590436704	0.583653181087905	0.0596416568993945	0.693781938815596	-0.50460490726666	0.0388545398408294	0.0389162561576355	0.841091784617071	0	0	0	0	0	0
g138||GTF3A	GTF3A	g138	0.0745348634160395	0.622511825839922	0.398587846394453	0.113025378964554	0.109336429898176	0.572351063263756	-0.0495220474868948	0.743117991024849	0.178921568627451	0.490666292162011	-0.0472906403940887	0.807270269985858	0	0	0	0	0	0
g152||GTF3A	GTF3A	g152	0.0402363997507053	0.790629117582007	0.0312346629067682	0.905273367512086	0.0483753807003832	0.80320916782063	0.0867715078630897	0.565231298255892	0.0196078431372549	0.943477120118785	0.0817733990147783	0.67221864283882	0	0	0	0	0	0
g155||GTF3A	GTF3A	g155	0.136325140087587	0.366322107035989	-0.0379568605373299	0.8850024744995	0.179186313424817	0.352339837911769	0.180511871723713	0.229168245562557	-0.102941176470588	0.694306640386447	0.190147783251231	0.321693568311834	0	0	0	0	0	0
g156||GTF3A	GTF3A	g156	-0.0545739056900293	0.718682265480479	-0.118352580576998	0.650976034743707	-0.0543494262902627	0.779467313418446	-0.123527597903176	0.41218327238234	-0.0686274509803922	0.794738345989526	-0.0960591133004926	0.618852723101824	0	0	0	0	0	0
g167||GTF3A	GTF3A	g167	0.0387579182396934	0.798158763221823	0.0513577684112061	0.844803931190959	0.0567390365971868	0.770023398957464	0.0194264569842738	0.897941118503394	-0.112745098039216	0.666424281058544	-0.00541871921182266	0.978610584247343	0	0	0	0	0	0
g170||GTF3A	GTF3A	g170	0.173894178064198	0.247770577255768	-0.257709605996173	0.317973753395594	0.213356526354396	0.266449334229352	0.131174838112858	0.383660941237862	-0.313725490196078	0.219654866580788	0.152709359605911	0.427375033356427	0	0	0	0	0	0
g171||GTF3A	GTF3A	g171	0.343705252431069	0.0193501164927403	-0.546026685759359	0.0233583269336679	0.411578396911252	0.0265353879002984	0.258957755164971	0.0824003963942231	-0.348039215686275	0.171196025388197	0.308374384236453	0.103822874364302	0	0	0	0	0	0
